mine_id,mine_name,latitude,longitude,date,rainfall_mm,data_source
1,Mine_00001,11.292622,76.702084,2024-11,398.94,synthetic_imd
1,Mine_00001,11.292622,76.702084,2024-12,199.53,synthetic_imd
1,Mine_00001,11.292622,76.702084,2025-01,225.66,synthetic_imd
1,Mine_00001,11.292622,76.702084,2025-02,27.79,synthetic_imd
1,Mine_00001,11.292622,76.702084,2025-03,44.61,synthetic_imd
1,Mine_00001,11.292622,76.702084,2025-04,39.43,synthetic_imd
1,Mine_00001,11.292622,76.702084,2025-05,37.44,synthetic_imd
1,Mine_00001,11.292622,76.702084,2025-06,411.76,synthetic_imd
1,Mine_00001,11.292622,76.702084,2025-07,150.5,synthetic_imd
1,Mine_00001,11.292622,76.702084,2025-08,266.43,synthetic_imd
1,Mine_00001,11.292622,76.702084,2025-09,195.9,synthetic_imd
1,Mine_00001,11.292622,76.702084,2025-10,150.2,synthetic_imd
2,Mine_00002,11.306133,79.186327,2024-11,408.8,synthetic_imd
2,Mine_00002,11.306133,79.186327,2024-12,167.89,synthetic_imd
2,Mine_00002,11.306133,79.186327,2025-01,101.65,synthetic_imd
2,Mine_00002,11.306133,79.186327,2025-02,34.6,synthetic_imd
2,Mine_00002,11.306133,79.186327,2025-03,38.26,synthetic_imd
2,Mine_00002,11.306133,79.186327,2025-04,28.66,synthetic_imd
2,Mine_00002,11.306133,79.186327,2025-05,44.37,synthetic_imd
2,Mine_00002,11.306133,79.186327,2025-06,259.65,synthetic_imd
2,Mine_00002,11.306133,79.186327,2025-07,180.81,synthetic_imd
2,Mine_00002,11.306133,79.186327,2025-08,273.6,synthetic_imd
2,Mine_00002,11.306133,79.186327,2025-09,369.85,synthetic_imd
2,Mine_00002,11.306133,79.186327,2025-10,367.53,synthetic_imd
3,Mine_00003,9.000037,76.82532,2024-11,135.08,synthetic_imd
3,Mine_00003,9.000037,76.82532,2024-12,53.21,synthetic_imd
3,Mine_00003,9.000037,76.82532,2025-01,127.88,synthetic_imd
3,Mine_00003,9.000037,76.82532,2025-02,27.33,synthetic_imd
3,Mine_00003,9.000037,76.82532,2025-03,29.27,synthetic_imd
3,Mine_00003,9.000037,76.82532,2025-04,28.31,synthetic_imd
3,Mine_00003,9.000037,76.82532,2025-05,17.4,synthetic_imd
3,Mine_00003,9.000037,76.82532,2025-06,87.83,synthetic_imd
3,Mine_00003,9.000037,76.82532,2025-07,171.36,synthetic_imd
3,Mine_00003,9.000037,76.82532,2025-08,110.33,synthetic_imd
3,Mine_00003,9.000037,76.82532,2025-09,182.18,synthetic_imd
3,Mine_00003,9.000037,76.82532,2025-10,227.51,synthetic_imd
4,Mine_00004,9.60176,78.753338,2024-11,198.54,synthetic_imd
4,Mine_00004,9.60176,78.753338,2024-12,114.46,synthetic_imd
4,Mine_00004,9.60176,78.753338,2025-01,155.77,synthetic_imd
4,Mine_00004,9.60176,78.753338,2025-02,16.97,synthetic_imd
4,Mine_00004,9.60176,78.753338,2025-03,12.75,synthetic_imd
4,Mine_00004,9.60176,78.753338,2025-04,25.07,synthetic_imd
4,Mine_00004,9.60176,78.753338,2025-05,36.67,synthetic_imd
4,Mine_00004,9.60176,78.753338,2025-06,209.31,synthetic_imd
4,Mine_00004,9.60176,78.753338,2025-07,224.3,synthetic_imd
4,Mine_00004,9.60176,78.753338,2025-08,158.83,synthetic_imd
4,Mine_00004,9.60176,78.753338,2025-09,267.11,synthetic_imd
4,Mine_00004,9.60176,78.753338,2025-10,219.78,synthetic_imd
5,Mine_00005,10.508385,79.533292,2024-11,283.14,synthetic_imd
5,Mine_00005,10.508385,79.533292,2024-12,78.89,synthetic_imd
5,Mine_00005,10.508385,79.533292,2025-01,195.25,synthetic_imd
5,Mine_00005,10.508385,79.533292,2025-02,33.83,synthetic_imd
5,Mine_00005,10.508385,79.533292,2025-03,17.15,synthetic_imd
5,Mine_00005,10.508385,79.533292,2025-04,21.76,synthetic_imd
5,Mine_00005,10.508385,79.533292,2025-05,44.85,synthetic_imd
5,Mine_00005,10.508385,79.533292,2025-06,328.93,synthetic_imd
5,Mine_00005,10.508385,79.533292,2025-07,199.16,synthetic_imd
5,Mine_00005,10.508385,79.533292,2025-08,301.51,synthetic_imd
5,Mine_00005,10.508385,79.533292,2025-09,214.23,synthetic_imd
5,Mine_00005,10.508385,79.533292,2025-10,186.77,synthetic_imd
6,Mine_00006,8.255477,78.733952,2024-11,179.23,synthetic_imd
6,Mine_00006,8.255477,78.733952,2024-12,42.21,synthetic_imd
6,Mine_00006,8.255477,78.733952,2025-01,116.95,synthetic_imd
