mine_id,mine_name,district,mine_type,latitude,longitude,elevation,slope_angle,rock_type,weathering_grade,joint_density,rainfall_mm,temperature_c,humidity,wind_speed,risk_score
TN_001,Mine_1,Tiruvallur,Iron Ore,12.72097342647546,79.89754151325656,1865.3117560902206,71.5097192050001,Limestone,3,0.5636563141661314,1923.9601955866485,25.761359172368742,76.56350334868428,9.062906803722749,90.13756495884444
TN_002,Mine_2,Tiruvannamalai,Garnet,9.792773978610366,77.95040020536909,1949.7840066421,29.622179181683954,Limestone,5,0.9779871841144806,1094.9740595780813,20.550979061399204,85.47622554739092,8.681946281513426,87.78911590413276
TN_003,Mine_3,Kallakurichi,Magnesite,9.211325761610516,80.3783814063677,1992.0659219591419,70.31085881704499,Shale,1,0.5130900892153117,1931.1304048094496,34.35905394474989,82.86800460462493,9.64475891517103,31.71957167653986
TN_004,Mine_4,Chennai,Granite,11.911322428409099,78.60042806564805,158.94875162083258,82.43790123518585,Shale,1,0.6015748320010431,702.5019161318104,32.39308543690949,88.22602361351042,2.3821277948345947,86.8900625540571
TN_005,Mine_5,Vellore,Bauxite,12.452255753768434,79.94708076254193,1487.2193357424674,12.072657869251726,Sandstone,1,0.8745688161016606,1225.6324128986191,32.01154530694812,78.00470392190485,7.141697208037198,37.56722518817265
TN_006,Mine_6,Tiruvallur,Garnet,9.917662930104512,77.68033011898206,1114.5357518217284,68.34542715757064,Shale,1,0.5815627470402928,904.8668335882924,29.446668844942295,62.11493811904551,9.880453276295231,29.68692745602808
TN_007,Mine_7,Villupuram,Granite,8.528971031002815,78.43973866769838,1426.3713935634544,52.196471771010884,Sandstone,1,0.2660165842769705,1309.76416836229,23.244860345548304,55.59759952475652,9.770406348326237,64.90746587943931
TN_008,Mine_8,Krishnagiri,Granite,13.172877954692822,79.44829273768518,1938.871290749563,43.40367736147801,Limestone,2,0.3696363205898293,743.020816837377,27.773905500145883,56.037137021906375,12.30842922987321,32.83812278850811
TN_009,Mine_9,Tiruvallur,Iron Ore,10.186646115981372,77.4842358234623,1391.658519841326,38.64286229320601,Limestone,5,0.37894323364174987,1762.294490465065,28.959111086455117,76.22113363070585,10.51512140481741,63.02087483291442
TN_010,Mine_10,Kallakurichi,Granite,10.847632427901141,77.46460897785039,1682.079554762879,67.77346111554476,Granite,3,0.4575863039118381,1769.6117739718359,27.87547251290402,77.29185060154822,14.89773311242874,60.98318054986945
TN_011,Mine_11,Kallakurichi,Magnesite,12.607405582490305,80.39337903489955,1740.3939753561406,56.148908557939386,Limestone,3,0.4841100148030745,1932.8544690852184,23.90350051927291,50.01795717743563,5.690108871912385,56.34389273484588
TN_012,Mine_12,Chennai,Garnet,11.716295643716045,79.50108286462984,1685.037489339771,69.40357340154895,Shale,3,0.8198038198668425,732.0082113248543,27.72871886472089,83.40614067452654,6.668963385661009,38.04197042327977
TN_013,Mine_13,Vellore,Granite,12.043688655824248,77.14373630868756,880.8783763415352,77.2520846941301,Limestone,3,0.41444829914439973,1434.998826357486,27.3677951130294,75.74620201011238,6.990012974281352,54.849972165147676
TN_014,Mine_14,Tiruvannamalai,Iron Ore,9.149893914057426,78.39587315505678,484.0240142635095,54.381096967783364,Sandstone,2,0.5214086455972414,1211.3559630505545,34.94503663710086,68.13751431716913,8.055566491263232,59.64854749854216
TN_015,Mine_15,Chennai,Magnesite,10.977963856051613,78.5173225815326,823.4706238107912,83.43701800739024,Limestone,4,0.6624783883459471,1016.5755980663498,33.46154222069306,63.57662300512564,12.867974829155722,54.56868884954734
TN_016,Mine_16,Chennai,Limestone,11.826814196397951,79.6041492504969,1789.1989721147145,53.647027963350816,Granite,5,0.43995335269615243,1027.3102417013283,26.9507112232343,67.16164028949791,5.065297221469728,44.441945275120155
TN_017,Mine_17,Krishnagiri,Garnet,9.257025119885148,77.87801184571332,335.8794022994497,55.931545729782606,Limestone,1,0.8529083319630996,1119.1903259101284,29.34406074402678,47.962286913963226,12.088002691460584,1.466705704626381
TN_018,Mine_18,Kanchipuram,Granite,8.96225209902765,77.6451678601598,1050.9860289501662,49.38524868337805,Sandstone,4,0.6287082438106669,1557.3883245334296,31.218074061383426,50.18506246381371,7.269032380114664,58.706170770115094
TN_019,Mine_19,Vellore,Iron Ore,13.401925888311895,77.28305538316019,504.7947412278292,12.280167284106422,Sandstone,3,0.36464021129887436,1397.429087402232,20.522977403507372,44.55822452030959,9.82411998760611,16.844438514271964
TN_020,Mine_20,Dharmapuri,Limestone,10.841497401990578,78.49910066229037,1183.5455635922256,63.11176261201826,Shale,4,0.7426532798108454,1189.5222691416966,33.4238216184176,47.682901908055634,10.223026931941979,64.25759689471896
TN_021,Mine_21,Chennai,Limestone,9.43456046156725,79.40974965267878,1733.1201178785575,48.79570455192892,Limestone,5,0.5748829571303072,613.9001155544331,32.901902246268854,62.68468173026413,6.847032283456148,75.9344327922866
TN_022,Mine_22,Perambalur,Bauxite,13.479395348668584,77.20367758427955,1766.7019388449128,41.072835793288355,Sandstone,1,0.5810103021315223,616.6480161184356,26.86148146660561,66.5177196864128,8.663997667675467,50.04453091307415
TN_023,Mine_23,Kanchipuram,Magnesite,13.309806432088365,80.20324804669268,511.53612768005354,77.83770227226184,Granite,1,0.5329791535488274,503.5090859386674,25.867546491205697,40.89309462391597,7.369405270420061,54.23636649797383
TN_024,Mine_24,Dharmapuri,Granite,11.070613994839036,78.54823280405887,1820.0027273796652,28.83675612335604,Shale,5,0.5473107539391241,1951.5490823106297,24.094390622844724,79.83989139320138,2.898726220426053,95.14785596659911
TN_025,Mine_25,Perambalur,Iron Ore,12.854499887541369,77.8392557570509,1204.1830407015045,46.888182081200895,Granite,5,0.7888206529596166,507.88072783757735,27.150152424955525,54.708398667173896,7.683150054618745,84.71673613725741
TN_026,Mine_26,Vellore,Bauxite,9.037889095877587,77.32855651528452,732.9255810656114,60.811349719477064,Limestone,3,0.19268333139818397,654.6406190206174,20.665649952998553,85.59180174799556,3.2661141031961782,91.42365159514699
TN_027,Mine_27,Salem,Magnesite,9.533792439257,77.64003098987557,1430.9533313872396,68.71774205391019,Limestone,1,0.400926530179434,971.8948352141164,32.78290300020512,88.37556318068889,7.26527038804418,81.37662883195864
TN_028,Mine_28,Perambalur,Bauxite,11.851968064850242,80.27114899068899,989.2506265300249,41.74774463569379,Limestone,4,0.16795302742350032,1711.1453777251418,20.531335526278177,49.27294373383272,9.707939197813165,10.891834184673144
TN_029,Mine_29,Villupuram,Garnet,12.656636282310682,79.23394707845172,787.0758007383962,72.36731320149677,Shale,2,0.7779215986727057,1943.1481786461766,24.935770480548065,63.10486453828303,9.53239369146551,14.899185597019471
